Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,DigiKey
1,,A2_BUS,BUS1,A2_BUS,BUS_ADC,1,,
2,"Unpolarized capacitor, small symbol",C_Small,C5 C6 C9 C13 C19 C20 C21 C22 C23 C24 C25 C34 C35,100nF,FG18,13,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H104KNT06.pdf,445-173265-1-ND
3,"Unpolarized capacitor, small symbol",C_Small,C3 C4 C14 C18 C29 C30 C40 C41 C45 C46,10nF,FG18,10,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H103KNT06.pdf,445-173172-1-ND
4,"Unpolarized capacitor, small symbol",C_Small,C7 C10,10pF,FG18,2,https://product.tdk.com/info/en/documents/chara_sheet/FG18C0G1H100DNT06.pdf,445-173169-1-ND
5,"Unpolarized capacitor, small symbol",C_Small,C12 C16 C17,10µF,FG16,3,https://product.tdk.com/info/en/documents/chara_sheet/FG16X5R1H106KRT06.pdf,445-173153-1-ND
6,"Unpolarized capacitor, small symbol",C_Small,C31 C32,1µF,FG18,2,https://product.tdk.com/info/en/documents/chara_sheet/FG18X5R1H105KRT06.pdf,445-173257-1-ND
7,"Unpolarized capacitor, small symbol",C_Small,C11,2.2nF,FG18,1,https://product.tdk.com/info/en/documents/chara_sheet/FG18C0G1H222JNT06.pdf,445-173184-1-ND
8,"Unpolarized capacitor, small symbol",C_Small,C27 C28 C38 C39,2.2µF,FG14,4,https://product.tdk.com/info/en/documents/chara_sheet/FG14X7R1H225KRT06.pdf,445-173138-1-ND
9,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C43 C44,3.3µF,FG14,4,https://product.tdk.com/info/en/documents/chara_sheet/FG14X5R1H335KRT06.pdf,445-173130-1-ND
10,"Unpolarized capacitor, small symbol",C_Small,C15,330pF,FG18,1,https://product.tdk.com/info/en/documents/chara_sheet/FG18C0G1H331JNT06.pdf,445-173190-1-ND
