Refs,DigiKey,datasheet,footprint,value
BUS101,,,Apple2_bus:BUS_A2,A2_BUS
C101,445-173265-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H104KNT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,0.1µF
C102,P15400-ND,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1022.pdf,Capacitors_THT:CP_Radial_D6.3mm_P2.50mm,47µF
C103,445-173265-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H104KNT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,0.1µF
C104,445-173138-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG14X7R1H225KRT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,2.2µF
C105,445-173265-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H104KNT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,0.1µF
C106,445-173265-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H104KNT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,0.1µF
C107,445-173265-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H104KNT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,0.1µF
C108,445-173138-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG14X7R1H225KRT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,2.2µF
C109,445-173265-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H104KNT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,0.1µF
C110,445-173276-1-ND,https://product.tdk.com/info/en/documents/chara_sheet/FG18X7R1H474KRT06.pdf,Capacitors_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,0.47µF
D101,67-2288-ND,https://www.lumex.com/content/files/ProductAttachment/SSL-LX5093SID.pdf,LEDs:LED_D5.0mm,LED
F101,495-3904-ND,https://product.tdk.com/info/en/documents/data_sheet/55/db/PTC/PTC_OC_Leaded_12V_24V_C935_C995.pdf,Fuse_Holders_and_Fuses:Fuse_TE5_Littlefuse-395Series,Polyfuse_Small
F103,495-3904-ND,https://product.tdk.com/info/en/documents/data_sheet/55/db/PTC/PTC_OC_Leaded_12V_24V_C935_C995.pdf,Fuse_Holders_and_Fuses:Fuse_TE5_Littlefuse-395Series,Polyfuse_Small
J101,,,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,Debug-1
J102,,,ibxlib:HVConnector3D,HV
J103,,,Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm,Debug-2
R101,BC4511CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,20k
R102,BC4511CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,20k
R103,BC4515CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k+
R104,BC4511CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,20k
R105,BC4515CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k+
R106,BC4511CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,20k
R107,BC4515CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k+
R108,BC4511CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,20k
R109,BC4515CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k+
R110,BC4511CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,20k
R111,BC4515CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k+
R112,BC4511CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,20k
R113,BC4515CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k+
R114,BC4511CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,20k
R115,BC4515CT-ND,http://www.vishay.com/docs/28767/mbsmapre.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k+
R116,PPC10.0KZCT-ND,http://www.vishay.com/docs/28724/mrs16m25.pdf,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k
